category_id,category_name,query_index,search_query
1,Animals & Pet Supplies,1,animals and pet supplies
1,Animals & Pet Supplies,2,animals and pet supplies online
1,Animals & Pet Supplies,3,best animals and pet supplies for daily use
1,Animals & Pet Supplies,4,affordable animals and pet supplies with good reviews
1,Animals & Pet Supplies,5,where can I buy animals and pet supplies?
1,Animals & Pet Supplies,6,I need durable animals and pet supplies for long-term use
1,Animals & Pet Supplies,7,top-rated animals and pet supplies and accessories
1,Animals & Pet Supplies,8,premium animals and pet supplies for gift ideas
1,Animals & Pet Supplies,9,compare animals and pet supplies options for beginners
1,Animals & Pet Supplies,10,what are popular animals and pet supplies choices right now?
2,Live Animals,1,live animals
2,Live Animals,2,live animals online
2,Live Animals,3,best live animals for daily use
2,Live Animals,4,affordable live animals with good reviews
2,Live Animals,5,where can I buy live animals?
2,Live Animals,6,I need durable live animals for long-term use
2,Live Animals,7,top-rated live animals and related live animals
2,Live Animals,8,premium live animals for gift ideas
2,Live Animals,9,compare live animals options for beginners
2,Live Animals,10,what are popular live animals choices right now?
3,Pet Supplies,1,pet supplies
3,Pet Supplies,2,pet supplies online
3,Pet Supplies,3,best pet supplies for daily use
3,Pet Supplies,4,affordable pet supplies with good reviews
3,Pet Supplies,5,where can I buy pet supplies?
3,Pet Supplies,6,I need durable pet supplies for long-term use
3,Pet Supplies,7,top-rated pet supplies and accessories
3,Pet Supplies,8,premium pet supplies for gift ideas
3,Pet Supplies,9,compare pet supplies options for beginners
3,Pet Supplies,10,what are popular pet supplies choices right now?
4,Bird Supplies,1,bird supplies
4,Bird Supplies,2,bird supplies online
4,Bird Supplies,3,best bird supplies for daily use
4,Bird Supplies,4,affordable bird supplies with good reviews
4,Bird Supplies,5,where can I buy bird supplies?
4,Bird Supplies,6,I need durable bird supplies for long-term use
4,Bird Supplies,7,top-rated bird supplies and accessories
4,Bird Supplies,8,premium bird supplies for gift ideas
4,Bird Supplies,9,compare bird supplies options for beginners
4,Bird Supplies,10,what are popular bird supplies choices right now?
5,Bird Cage Accessories,1,bird cage accessories
5,Bird Cage Accessories,2,bird cage accessories online
5,Bird Cage Accessories,3,best bird cage accessories for daily use
