id,name,options
1,Color,"[""grey"",""azure"",""ivory"",""salmon"",""silver"",""magenta"",""pink"",""orange"",""cyan"",""lime""]"
2,Material,"[""Bamboo"",""Plastic"",""Gold"",""Aluminum"",""Granite"",""Marble"",""Bronze"",""Wooden"",""Silk"",""Cotton""]"
3,Apparel Size,"[""XS"",""S"",""M"",""L"",""XL"",""XXL"",""3XL""]"
4,Gender,"[""Male"",""Female"",""Unisex"",""Kids""]"
5,Style,"[""Basic"",""Casual"",""Sport"",""Street"",""Vintage"",""Luxury""]"
6,Season,"[""Spring"",""Summer"",""Autumn"",""Winter"",""All Season""]"
7,Fit Type,"[""Slim fit"",""Regular fit"",""Loose fit"",""Oversize""]"
8,Sleeve Length,"[""Sleeveless"",""Short Sleeve"",""Half Sleeve"",""Long Sleeve""]"
9,RAM Capacity,"[""4GB"",""8GB"",""16GB"",""32GB"",""64GB"",""96GB"",""128GB""]"
10,Storage,"[""128GB SSD"",""256GB SSD"",""512GB SSD"",""1TB SSD"",""2TB SSD"",""4TB HDD""]"
11,Screen Size,"[""6.1 inch"",""10.9 inch"",""13.3 inch"",""14 inch"",""15.6 inch"",""24 inch"",""27 inch""]"
12,Resolution,"[""HD"",""Full HD"",""2K"",""4K"",""5K"",""8K""]"
13,Refresh Rate,"[""60Hz"",""75Hz"",""90Hz"",""120Hz"",""144Hz"",""240Hz""]"
14,Operating System,"[""Windows"",""macOS"",""Linux"",""Android"",""iOS"",""None""]"
15,CPU,"[""Intel Core i5"",""Intel Core i7"",""Intel Core i9"",""AMD Ryzen 5"",""AMD Ryzen 7"",""Apple M3""]"
16,GPU,"[""Intel Iris"",""NVIDIA RTX 4060"",""NVIDIA RTX 4070"",""AMD Radeon"",""Apple GPU""]"
17,Connection Type,"[""Bluetooth"",""Wi-Fi"",""USB-C"",""Lightning"",""3.5mm"",""HDMI""]"
18,Wi-Fi Standard,"[""Wi-Fi 5"",""Wi-Fi 6"",""Wi-Fi 6E"",""Wi-Fi 7""]"
19,Bluetooth Standard,"[""4.2"",""5.0"",""5.2"",""5.3"",""5.4""]"
20,Battery Type,"[""Li-ion"",""Li-Po"",""NiMH"",""No Battery""]"
21,Battery Capacity,"[""1000mAh"",""3000mAh"",""5000mAh"",""10000mAh"",""20000mAh""]"
22,Power,"[""5W"",""10W"",""20W"",""45W"",""65W"",""120W"",""200W""]"
23,Voltage,"[""5V"",""12V"",""24V"",""110V"",""220V""]"
24,Fuel Type,"[""Gasoline"",""Diesel"",""Electric"",""Hybrid""]"
25,Seat Count,"[""1"",""2"",""4"",""5"",""7"",""9""]"
26,Transmission,"[""Manual"",""Automatic"",""CVT"",""DCT""]"
27,Drivetrain,"[""FWD"",""RWD"",""AWD"",""4WD""]"
28,Top Speed,"[""30 km/h"",""80 km/h"",""120 km/h"",""180 km/h"",""250 km/h""]"
29,Payload,"[""50kg"",""100kg"",""300kg"",""500kg"",""1 ton"",""3 tons""]"
30,Size,"[""Small"",""Medium"",""Large"",""Extra Large""]"
31,Weight,"[""< 1kg"",""1-5kg"",""5-20kg"",""20-50kg"",""> 50kg""]"
32,Shape,"[""Round"",""Square"",""Rectangle"",""Oval"",""Polygon""]"
33,Pet Flavor,"[""Beef"",""Chicken"",""Salmon"",""Lamb"",""Duck"",""Rabbit""]"
34,Pet Age Group,"[""Young"",""Adult"",""All Ages"",""Senior""]"
35,Pet Breed Group,"[""Small Dog"",""Large Dog"",""Cat"",""Fish"",""Bird"",""Rodent""]"
36,Suitable Skin Type,"[""Oily Skin"",""Dry Skin"",""Normal Skin"",""Combination Skin"",""Sensitive Skin""]"
37,Skin Concern,"[""Acne"",""Anti-aging"",""Pigmentation"",""Dark Spots"",""Dehydration"",""Fragrance-free""]"
38,SPF,"[""SPF 15"",""SPF 30"",""SPF 50"",""SPF 50+""]"
39,Key Ingredient,"[""Vitamin C"",""Niacinamide"",""Retinol"",""Ceramide"",""Hyaluronic Acid""]"
40,Hair Type,"[""Oily Hair"",""Dry Hair"",""Colored Hair"",""Curly Hair"",""All Hair Types""]"
41,Food Group,"[""Dry Food"",""Fresh Food"",""Frozen Food"",""Beverage"",""Seasoning""]"
42,Serving Size,"[""1 Person"",""2-3 People"",""Family"",""Party""]"
43,Origin,"[""Vietnam"",""Japan"",""Korea"",""USA"",""EU"",""Australia""]"
44,Brand,"[""Renner Inc"",""Paucek - Gutmann"",""Ernser - Gulgowski"",""Emmerich - Goyette"",""Kutch - Crist"",""Grimes - Jacobi"",""Treutel Group"",""Harber - Hammes"",""Walter - Becker"",""Schowalter, Lueilwitz and Turcotte"",""Muller Group"",""Champlin - Christiansen""]"
45,Warranty,"[""None"",""3 tháng"",""6 tháng"",""12 tháng"",""24 tháng"",""36 tháng""]"
46,Made In,"[""Vietnam"",""China"",""Thailand"",""Korea"",""Japan"",""USA""]"
47,Target User,"[""Adults"",""Kids"",""Seniors"",""All Users""]"
48,Storage Condition,"[""Room Temperature"",""Refrigerated"",""Frozen"",""Keep Away From Sunlight""]"
49,Pack Quantity,"[""1"",""2"",""3"",""5"",""10"",""20""]"
50,Net Weight,"[""100g"",""250g"",""500g"",""1kg"",""5kg"",""10kg""]"
51,Volume,"[""100ml"",""250ml"",""500ml"",""1L"",""2L"",""5L""]"
52,Compartment Count,"[""1"",""2"",""3"",""4"",""5+""]"
53,Water Resistance,"[""None"",""IPX4"",""IPX6"",""IP67"",""IP68""]"
54,Production Year,"[""2022"",""2023"",""2024"",""2025"",""2026""]"
55,Language,"[""Vietnamese"",""English"",""Bilingual"",""Multilingual""]"
56,Condition,"[""New"",""Open Box"",""Like new"",""Used""]"
57,Use Case,"[""Personal"",""Family"",""Office"",""Professional"",""Industrial""]"
58,Product Line,"[""Standard"",""Advanced"",""Premium"",""Pro"",""Ultra""]"
59,Version,"[""2022"",""2023"",""2024"",""2025"",""Latest""]"
60,Key Technology,"[""AI"",""Smart Sync"",""Eco Mode"",""Fast Charge"",""Noise Canceling""]"
61,Port Type,"[""USB-A"",""USB-C"",""HDMI"",""DisplayPort"",""Ethernet"",""TF Card""]"
62,Read Speed,"[""100MB/s"",""500MB/s"",""1GB/s"",""3GB/s"",""7GB/s""]"
63,Write Speed,"[""80MB/s"",""300MB/s"",""800MB/s"",""2GB/s"",""6GB/s""]"
64,Brightness,"[""250 nits"",""300 nits"",""400 nits"",""600 nits"",""1000 nits""]"
65,Contrast Ratio,"[""1000:1"",""1500:1"",""3000:1"",""5000:1""]"
66,Aspect Ratio,"[""16:9"",""16:10"",""21:9"",""4:3""]"
67,Viewing Angle,"[""120 degrees"",""140 degrees"",""160 degrees"",""178 degrees""]"
68,Audio Standard,"[""Stereo"",""Dolby Audio"",""Dolby Atmos"",""Hi-Res""]"
69,Noise Level,"[""<20dB"",""20-30dB"",""30-40dB"","">40dB""]"
70,Power Consumption,"[""<50W"",""50-100W"",""100-300W"","">300W""]"
71,Energy Saving Standard,"[""Energy Star"",""5 sao"",""Inverter"",""None""]"
72,Shock Resistance,"[""Cơ bản"",""MIL-STD-810H"",""Chống sốc cao""]"
73,Safety Certification,"[""CE"",""FCC"",""RoHS"",""UL"",""QCVN""]"
74,Shoe Size,"[""35"",""36"",""37"",""38"",""39"",""40"",""41"",""42"",""43""]"
75,Heel Height,"[""1cm"",""3cm"",""5cm"",""7cm"",""9cm""]"
76,Collar Type,"[""Cổ tròn"",""Cổ tim"",""Cổ bẻ"",""Cổ lọ"",""No Collar""]"
77,Pattern,"[""Solid"",""Striped"",""Plaid"",""Floral"",""Graphic""]"
78,Packaging Type,"[""Bag"",""Paper Box"",""Tin Box"",""Bottle"",""Can""]"
79,Sugar Content,"[""0%"",""Low"",""Medium"",""High""]"
80,Protein Content,"[""5g"",""10g"",""20g"",""30g""]"
81,Fat Content,"[""0g"",""5g"",""10g"",""20g""]"
82,Alcohol Content,"[""0%"",""3%"",""5%"",""12%"",""40%""]"
83,Shelf Life,"[""7 ngày"",""30 ngày"",""6 tháng"",""12 tháng"",""24 tháng""]"
84,Usage Environment,"[""Indoor"",""Outdoor"",""Both"",""Worksite""]"
85,UV Protection,"[""UPF 15"",""UPF 30"",""UPF 50+"",""None""]"
86,Charging Time,"[""30 phút"",""1 giờ"",""2 giờ"",""4 giờ"",""8 giờ""]"
87,Battery Life,"[""2 giờ"",""5 giờ"",""10 giờ"",""20 giờ"",""48 giờ""]"
88,Port Count,"[""1"",""2"",""3"",""4"",""6"",""8""]"
89,Cable Length,"[""0.5m"",""1m"",""1.5m"",""2m"",""3m""]"
90,Security Type,"[""Vân tay"",""Face ID"",""Mã PIN"",""Mã cơ"",""RFID""]"
91,Sensor Type,"[""Temperature"",""Humidity"",""Light"",""Pressure"",""Motion""]"
92,Sensor Accuracy,"[""±0.1"",""±0.5"",""±1.0"",""±2.0""]"
93,Dust Resistance,"[""IP5X"",""IP6X"",""None""]"
94,Package Weight,"[""250g"",""500g"",""1kg"",""2kg"",""5kg""]"
95,Paper Type,"[""Bìa cứng"",""Glossy"",""Matte"",""Tái chế"",""Couche""]"
96,Page Count,"[""32"",""64"",""128"",""256"",""512""]"
97,Recommended Age,"[""0-3"",""4-6"",""7-12"",""13-18"",""18+""]"
